"Route","hour","x_hat"
"1",5,38.0454545454545
"1",6,298.08
"1",7,512.518518518518
"1",8,301
"1",9,294.148148148148
"1",10,358.185185185185
"1",11,295.444444444444
"1",12,316.444444444444
"1",13,307.925925925926
"1",14,299.814814814815
"1",15,610.962962962963
"1",16,301.37037037037
"1",17,287.814814814815
"1",18,324.518518518519
"1",19,169.481481481481
"1",20,146.074074074074
"1",21,149.5
"1",22,199.318181818182
"1",23,85.7142857142857
"2",7,3
"2",8,2
"2",9,2.25
"2",10,3
"2",14,8
"2",15,1
"3",4,2
"3",5,5
"3",6,13.0454545454545
"3",7,9.79166666666667
"3",8,14.4090909090909
"3",9,9.95652173913044
"3",10,11.7916666666667
"3",11,11.0869565217391
"3",12,9.07692307692308
"3",13,10.0909090909091
"3",14,9.32
"3",15,8.08695652173913
"3",16,11.125
"3",17,9.375
"3",18,11.6521739130435
"3",19,3.15
"3",20,4.18181818181818
"3",21,5.23809523809524
"4",5,7.45454545454545
"4",6,10.9130434782609
"4",7,10.7083333333333
"4",8,8.61538461538461
"4",9,9.82608695652174
"4",10,8.56
"4",11,11
"4",12,12.1818181818182
"4",13,13.6521739130435
"4",14,10.9545454545455
"4",15,12.9583333333333
"4",16,9.77272727272727
"4",17,11.3913043478261
"4",18,8.45833333333333
"4",19,7.81818181818182
"4",20,8.68181818181818
"4",21,4.30769230769231
"4",22,4.88888888888889
"6",6,15.2
"6",7,12.047619047619
"6",8,14.047619047619
"6",9,17.6818181818182
"6",10,24.2916666666667
"6",11,26
"6",12,23.4
"6",13,23.2307692307692
"6",14,19.9615384615385
"6",15,18.8260869565217
"6",16,10.8
"6",17,10.1428571428571
"6",18,8.85714285714286
"6",19,11.9
"6",20,11.7058823529412
"6",21,4
"9",6,1.6
"9",7,2.3125
"9",8,3.33333333333333
"9",9,1.72727272727273
"9",13,1.44444444444444
"9",14,1.42857142857143
"9",15,1.33333333333333
"9",16,2.82352941176471
"9",17,1.625
"9",18,2
"10",6,2
"10",7,6.46666666666667
"10",8,8.5
"10",17,8.75
"11",0,46.9615384615385
"11",1,9.85714285714286
"11",4,4
"11",5,77.3181818181818
"11",6,116.846153846154
"11",7,165.740740740741
"11",8,128.222222222222
"11",9,135.777777777778
"11",10,171.037037037037
"11",11,160.333333333333
"11",12,158.037037037037
"11",13,163.703703703704
"11",14,132.592592592593
"11",15,155.962962962963
"11",16,139.666666666667
"11",17,149.444444444444
"11",18,165.62962962963
"11",19,92
"11",20,85.5555555555556
"11",21,97.8148148148148
"11",22,84.9259259259259
"11",23,77.0740740740741
"12",6,5.11764705882353
"12",7,8.95454545454546
"12",8,3.5
"12",16,6.1
"12",17,7.77777777777778
"12",18,3.5
"13",5,1.82352941176471
"13",6,2.81818181818182
"13",7,3.14285714285714
"13",8,2.72727272727273
"13",9,2.7
"13",10,3.21052631578947
"13",11,3.73913043478261
"13",12,2.88
"13",13,2.80952380952381
"13",14,3.61904761904762
"13",15,2.47826086956522
"13",16,2.23809523809524
"13",17,4.04761904761905
"13",18,3.71428571428571
"13",19,3.38095238095238
"13",20,3
"13",21,2.07692307692308
"14",4,2
"14",5,6.21052631578947
"14",6,9.18181818181818
"14",7,10.4090909090909
"14",8,5.875
"14",9,6.5
"14",10,8.5
"14",11,6.88888888888889
"14",12,8
"14",13,7.48
"14",14,8.36
"14",15,6.5
"14",16,7.16
"14",17,10.4583333333333
"14",18,6.33333333333333
"14",19,4.6875
"14",20,2.5
"16",5,2
"16",6,2.47058823529412
"16",7,1.70588235294118
"16",8,2.52941176470588
"16",9,2.21428571428571
"16",10,2.46666666666667
"16",11,1.92307692307692
"16",12,2.75
"16",13,2.6
"16",14,1.90909090909091
"16",15,2.375
"16",16,3
"16",17,3.31818181818182
"16",18,2.5
"16",19,3.19047619047619
"16",20,2.6
"16",21,3.25
"16",22,2.11111111111111
"17",5,6.33333333333333
"17",6,154.227272727273
"17",7,179.555555555556
"17",8,114.074074074074
"17",9,118.37037037037
"17",10,145.962962962963
"17",11,116.037037037037
"17",12,86.7037037037037
"17",13,140.851851851852
"17",14,194.111111111111
"17",15,150.814814814815
"17",16,141.074074074074
"17",17,142.407407407407
"17",18,123.111111111111
"17",19,134.037037037037
"17",20,92.952380952381
