stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_associated_place,wheelchair_boarding
      5,000005,"Westerly Town Hall",,  41.377000, -71.829771,,,0,,,0
     10,000010,"Grove before Wilcox",,  41.378328, -71.826680,,,0,,,0
     20,000020,"Westerly Railroad Station",,  41.381108, -71.829808,,,0,,west,0
     25,000025,"High after Grove",,  41.381039, -71.825720,,,0,,,0
     30,000030,"Park Row West (Drop-off Only)",,  41.829038, -71.412128,,,0,,psta,0
     40,000040,"Boston Neck at Casey Farms",,  41.511541, -71.422331,,,0,,,0
     45,000045,"Boston Neck opposite Casey Farms",,  41.511628, -71.422138,,,0,,,0
    130,000130,"Narragansett (Salt Pond Plaza) at Stop & Shop",,  41.428201, -71.483328,,,0,,narr,0
    310,000310,"399 Main",,  41.437289, -71.501033,,,0,,,0
    315,000315,"396 Main",,  41.437213, -71.500964,,,0,,,0
    335,000335,"Main opposite River",,  41.440298, -71.497280,,,0,,,0
    340,000340,"Main opposite Robinson",,  41.438867, -71.498868,,,0,,,0
    395,000395,"Main after Cleveland",,  41.440995, -71.494139,,,0,,,0
    405,000405,"Main before Holley",,  41.441449, -71.489655,,,0,,,0
    415,000415,"Main before RI-108",,  41.441356, -71.489258,,,0,,,0
    425,000425,"Old Tower Hill before RI-108",,  41.441867, -71.486656,,,0,,,0
    430,000430,"Old Tower Hill after Narragansett",,  41.441923, -71.484458,,,0,,,0
    435,000435,"Old Tower Hill Rd at Wakefield Mall",,  41.442358, -71.482531,,,0,,wake,0
    440,000440,"Old Tower Hill Rd at Wakefield Mall",,  41.442288, -71.481756,,,0,,wake,0
    445,000445,"High opposite Cemetery",,  41.441832, -71.502313,,,0,,,0
    475,000475,"High after Tucker",,  41.445317, -71.502806,,,0,,,0
    485,000485,"High after Oakdell",,  41.446838, -71.502613,,,0,,,0
    505,000505,"High before Church",,  41.449314, -71.501386,,,0,,,0
    535,000535,"Park & Ride (RI-3 - Ashaway)",,  41.450179, -71.786067,,,0,,asha,0
